Date,Close,Volume,PriceRange
2017-12-15,204.14,7838684,7.83
2017-12-22,203.39,6640384,7.86
2017-12-29,203.09,3096485,3.92
2018-01-05,210.55,4122376,9.78
2018-01-12,213.39,5872766,8.68
2018-01-19,220.15,5598058,7.37
2018-01-26,226.22,4159549,7.59
2018-02-02,204.46,13287047,28.29
2018-02-09,193.77,11555913,17.32
2018-02-16,193.81,5106853,6.59
2018-02-23,194.79,3825929,4.63
2018-03-02,193.06,7121036,7.91
2018-03-09,173.36,26875208,23.37
2018-03-16,168.67,28780362,10.58
2018-03-23,164,20915815,5.56
2018-03-30,167.74,12944262,6.02
2018-04-06,167.82,10048541,6.18
2018-04-13,171.65,10652536,4.93
2018-04-20,169.94,11039656,8.18
2018-04-27,173.95,8517852,6.12
2018-05-04,171.17,10601683,8.5
2018-05-11,173.73,11418019,6.6
2018-05-18,178.91,7254298,6.22
2018-05-25,175.9,6448337,4.51
2018-06-01,170.82,6020518,5.89
2018-06-08,177.81,8128701,8.03
2018-06-15,175.05,12973442,7.55
2018-06-22,174.08,9853230,3.45
2018-06-29,169.95,11079327,12.02
2018-07-06,172.1,4356527,5.64
2018-07-13,173.09,6497319,3.01
2018-07-20,178.09,15816787,11.65
2018-07-27,177.25,10297316,5.67
2018-08-03,189.25,18771462,17.67
2018-08-10,183.28,19008613,8.21
2018-08-17,188.34,13618777,9.25
2018-08-24,185.72,11063931,5.52
2018-08-31,188.34,10043770,5.39
2018-09-07,188.59,11062818,7.37
2018-09-14,195.11,10761263,12.68
2018-09-21,202.23,20005861,8.24
2018-09-28,208.25,14064350,8.93
2018-10-05,215.72,11500784,7.45
2018-10-12,207.09,13256645,12.73
2018-10-19,210,9966446,11.08
2018-10-26,206.69,12630617,10.69
2018-11-02,213.13,13196068,18.67
2018-11-09,217.65,12282287,8.91
2018-11-16,213.72,11823688,10.55
2018-11-23,211.16,5572598,8.65
2018-11-30,223.38,11402682,12.43
2018-12-07,206.11,10663224,22.34
2018-12-14,205.37,12091424,14.18
2018-12-21,181.3,28353998,25.76
2018-12-28,190.65,15069977,17.69
2019-01-04,188.69,12900012,7.63
2019-01-11,194.66,16126525,9.82
2019-01-18,194.83,13404935,6.71
2019-01-25,196.28,9854796,5.21
2019-02-01,194.06,14266704,13.44
2019-02-08,181.37,15061017,12.88
2019-02-15,197.87,14365149,17.25
2019-02-22,193.77,9739201,8.99
2019-03-01,178.25,17549438,22.3
2019-03-08,163.14,14792679,17.57
2019-03-15,166.45,14257111,8.64
2019-03-22,166.09,10684002,8.19
2019-03-29,160.82,11233223,6.8
2019-04-05,166.13,12290783,9.45
2019-04-12,160.6,14171227,11.16
2019-04-19,149,23071083,25.31
2019-04-26,160.94,13470214,13.42
